"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","07","Edible vegetables and certain roots and tubers","A","Annual","A","Annual","PCT","Percent","2017","","","","10.9490049751244"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","07","Edible vegetables and certain roots and tubers","A","Annual","A","Annual","PCT","Percent","2018","","","","10.9490049751244"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","08","Edible fruit and nuts; peel of citrus fruit or melons","A","Annual","A","Annual","PCT","Percent","2018","","","","18.0036764705882"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","08","Edible fruit and nuts; peel of citrus fruit or melons","A","Annual","A","Annual","PCT","Percent","2017","","","","18.0036764705882"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","09","Coffee, tea, mate and spices","A","Annual","A","Annual","PCT","Percent","2018","","","","12.4871794871795"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","09","Coffee, tea, mate and spices","A","Annual","A","Annual","PCT","Percent","2017","","","","12.4871794871795"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","10","Cereals","A","Annual","A","Annual","PCT","Percent","2018","","","","24.1923076923077"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","10","Cereals","A","Annual","A","Annual","PCT","Percent","2017","","","","24.1923076923077"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","11","Products of the milling industry; malt; starches; inulin; wheat gluten","A","Annual","A","Annual","PCT","Percent","2018","","","","26.8086419753086"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","11","Products of the milling industry; malt; starches; inulin; wheat gluten","A","Annual","A","Annual","PCT","Percent","2017","","","","26.8086419753086"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder","A","Annual","A","Annual","PCT","Percent","2018","","","","8.9891436794498"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder","A","Annual","A","Annual","PCT","Percent","2017","","","","8.9891436794498"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","13","Lac; gums, resins and other vegetable saps and extracts","A","Annual","A","Annual","PCT","Percent","2018","","","","12.2181818181818"
